First Firearm Assassination - Extra History #shorts,,2024-01-30,5763090,426271,1232,D_DdQy-da4I,58.0,https://www.youtube.com/watch?v=D_DdQy-da4I
MASSIVE Amounts of Gunpowder! 💥 - Extra History #shorts,,2024-01-09,3423678,276145,723,YaEMjn6Me4g,56.0,https://www.youtube.com/watch?v=YaEMjn6Me4g
"The History of 3,000,000 - Extra History #shorts",,2023-12-26,1700330,157838,861,M5QHnivmyyM,60.0,https://www.youtube.com/watch?v=M5QHnivmyyM
Vlad Dracul SUCKED! - Worst Dads in History - Extra History #shorts,,2023-12-12,7165164,607544,1824,UetUSarOhfE,60.0,https://www.youtube.com/watch?v=UetUSarOhfE
Ivan WAS Terrible! - Worst Dads in History - Extra History #shorts,,2023-12-05,11381439,882825,2374,mSpdhWCtnak,60.0,https://www.youtube.com/watch?v=mSpdhWCtnak
London's Greatest Prison Break! - Jack Sheppard - Extra History #shorts,,2023-11-06,4873630,441053,757,tVM0AaMkiuU,52.0,https://www.youtube.com/watch?v=tVM0AaMkiuU
Summon Ghosts... WITH YOUR PHONE! - Extra History #shorts,,2023-10-30,1449194,132705,318,P2WVo18VXns,59.0,https://www.youtube.com/watch?v=P2WVo18VXns
The Oldest Haunted House! - Extra History #shorts,,2023-10-23,7850969,493223,1351,-dqu3oOa0nQ,60.0,https://www.youtube.com/watch?v=-dqu3oOa0nQ
Faceless Ghost Haunts Hawaii - Extra History #shorts,,2023-10-16,1359174,125965,579,DKbLu_m2wJU,54.0,https://www.youtube.com/watch?v=DKbLu_m2wJU
Dam It! Saving Ramesses' Temple from the Nile - Extra History #shorts,,2023-10-10,1654671,133660,534,OyaD3Fbk-Ak,60.0,https://www.youtube.com/watch?v=OyaD3Fbk-Ak
Roman Shaving was Brutal! - Extra History #shorts,,2023-09-26,13184900,783809,1743,TUQ7L3JMHio,60.0,https://www.youtube.com/watch?v=TUQ7L3JMHio
Barber-Surgeons?!?? - Extra History #shorts,,2023-09-19,3657137,284653,713,KMakhmDngbo,60.0,https://www.youtube.com/watch?v=KMakhmDngbo
The Death of Henry Ford's Dream - Extra History #shorts,,2023-09-12,4335582,305593,892,1XIOEvjwn00,60.0,https://www.youtube.com/watch?v=1XIOEvjwn00
Ford's Fordlandia Epically FAILS - Extra History #shorts,,2023-09-05,655619,51221,159,dbBZqrpSgI0,60.0,https://www.youtube.com/watch?v=dbBZqrpSgI0
"Henry Ford's Brazilian ""Utopia"" - Extra History #shorts",,2023-08-29,2463806,173798,756,FtWsGLOkQ9Q,59.0,https://www.youtube.com/watch?v=FtWsGLOkQ9Q
Dying for Ice Cream - The Penny Lick Plague - Extra History #shorts,,2023-08-22,17756104,854364,3880,lYtKvZ8zA_k,59.0,https://www.youtube.com/watch?v=lYtKvZ8zA_k
H.P. Lovecraft's Syphilis - Extra History #shorts,,2023-07-04,4821653,433040,1881,rVAybhwFe6U,60.0,https://www.youtube.com/watch?v=rVAybhwFe6U
Victorians Found WHAT Sexy?! - New England Vampire Panic - Extra History #shorts,,2023-06-20,6157932,473447,2504,bvTSLgLdgE4,60.0,https://www.youtube.com/watch?v=bvTSLgLdgE4
Worst. Coronation. Ever. - Conquest of India - Extra History #shorts,,2023-06-13,2465375,179079,735,7XTP852g1wE,60.0,https://www.youtube.com/watch?v=7XTP852g1wE
Kamehameha's Cloak: Pure Swag! - Extra History #shorts,,2023-06-06,11862850,759015,3825,Jno7IkGYWHE,60.0,https://www.youtube.com/watch?v=Jno7IkGYWHE
THIS... IS... SPARTA'S... AFTERMATH!!! - Battle of Thermopylae - Extra History #shorts,,2023-05-23,17017363,990724,4243,OHbuMiYUu_Y,57.0,https://www.youtube.com/watch?v=OHbuMiYUu_Y
Napoleon's Cleopatra - Extra History #shorts,,2023-05-09,12906436,939786,4751,mLuqTIYapks,60.0,https://www.youtube.com/watch?v=mLuqTIYapks
"4,000 Gs For A Tulip?!?!  - Tulip Mania - Extra History #shorts",,2023-04-25,1300270,108543,319,k00MEQ3vu9I,60.0,https://www.youtube.com/watch?v=k00MEQ3vu9I
April Fools Finale! Lancashire Inscription - Extra History #shorts,,2023-04-04,291254,23267,558,VgJEqBlwNBw,60.0,https://www.youtube.com/watch?v=VgJEqBlwNBw
April Fool's Origins - Extra History #shorts,,2023-04-01,1684811,139862,509,eEAH8Zydt7w,58.0,https://www.youtube.com/watch?v=eEAH8Zydt7w
Beer of Vengeance! - Extra History #shorts,,2023-03-28,6141015,427472,1335,dNhLaSDfGeQ,60.0,https://www.youtube.com/watch?v=dNhLaSDfGeQ
Frederick the Great's Horse - Extra History #shorts,,2023-03-21,1364827,119212,253,AiwNF2ocq9U,58.0,https://www.youtube.com/watch?v=AiwNF2ocq9U
Our Flag Means Sex - Exploring the Pacific - Extra History #shorts,,2023-03-07,8066260,589379,5778,HhQ9QeVQj-U,60.0,https://www.youtube.com/watch?v=HhQ9QeVQj-U
Donkey Bombs! - US Civil War - Extra History #shorts,,2023-02-28,4597100,293320,1300,e7TnNgdFHMs,60.0,https://www.youtube.com/watch?v=e7TnNgdFHMs
Richard The Lionheart's Weird Death - Extra History #shorts,,2023-02-21,1873929,177060,823,Jgx89TyiF8E,53.0,https://www.youtube.com/watch?v=Jgx89TyiF8E
Santa's Dark Origins - Extra History #shorts,,2022-12-08,678003,51663,319,COgtIJljmIY,58.0,https://www.youtube.com/watch?v=COgtIJljmIY
Tom King's Coffee House of Debauchery!  - The History of Coffee - Extra History #shorts,,2022-05-27,356512,28766,102,QO64ns38TW8,56.0,https://www.youtube.com/watch?v=QO64ns38TW8
Guzzling Hot Gold! - Rome & The Third Century Crisis - Extra History #shorts,,2022-05-20,2451250,160331,422,PodZmTAZ91A,55.0,https://www.youtube.com/watch?v=PodZmTAZ91A
Don't Steal Roosevelt's Boat! - Extra History #shorts,,2022-05-16,8664310,601882,2621,jkzQcVN6Xn4,55.0,https://www.youtube.com/watch?v=jkzQcVN6Xn4
Execution Elephants - Ibn Battuta - Extra History #shorts,,2022-05-13,1752617,117339,306,Da8YTROteV8,54.0,https://www.youtube.com/watch?v=Da8YTROteV8
Genghis Khan‘s Kids - Extra History #shorts,,2022-05-06,8326572,570199,1342,-Mj28P2op0s,58.0,https://www.youtube.com/watch?v=-Mj28P2op0s
The Ultimate Warship - Admiral Yi - Extra History #shorts,,2022-05-02,337051,35025,240,XnMCtt31fds,56.0,https://www.youtube.com/watch?v=XnMCtt31fds
Crusader Goose!!! - The First Crusade - Extra History #shorts,,2022-04-29,1917390,166118,601,ArxHmXig-9E,59.0,https://www.youtube.com/watch?v=ArxHmXig-9E
The B-Day that Changed D-Day | WW2 | Extra History #shorts,,2022-04-25,12622313,768738,2662,7o83vZczieU,54.0,https://www.youtube.com/watch?v=7o83vZczieU
The Swedish Meteor - The Great Northern War - Extra History #shorts,,2022-04-22,326388,25713,221,pma42bjrEMI,56.0,https://www.youtube.com/watch?v=pma42bjrEMI
THAT Horse Rumor... Catherine the Great - Extra History #shorts,,2022-04-15,1667472,113942,845,uG7-ygCoklc,54.0,https://www.youtube.com/watch?v=uG7-ygCoklc
The Perfect Biological Weapon? - Hogs in History! - Extra History #shorts,,2022-04-08,308648,27691,278,E24KMDW83zk,60.0,https://www.youtube.com/watch?v=E24KMDW83zk
The 1907 Stock Market Crash - Extra History #shorts,,2022-04-04,157663,8700,50,0S4ZVkeu2cw,55.0,https://www.youtube.com/watch?v=0S4ZVkeu2cw
Murder by Window! - Defenestration: A Symbol of Rebellion! - Extra History #shorts,,2022-03-31,140195,8451,129,lC-a48m3Nbs,57.0,https://www.youtube.com/watch?v=lC-a48m3Nbs
Who Invented Banking? - History of Paper Money - Extra History #shorts,,2022-03-25,2109898,193561,943,iatuI91U-e0,59.0,https://www.youtube.com/watch?v=iatuI91U-e0
"Charles VI ALMOST got ""Fired"" - Joan of Arc - Extra History #shorts",,2022-03-18,1631028,130309,364,zuxe_RocVNA,52.0,https://www.youtube.com/watch?v=zuxe_RocVNA
Dracula SUCKED at being a Vampire! - Vlad The Impaler - Extra History #shorts,,2022-03-14,136569,9521,92,1yGN9vxqBOs,59.0,https://www.youtube.com/watch?v=1yGN9vxqBOs
Pirate Love Triangle - Cheng I Sao - Extra History #shorts,,2022-03-11,2779162,223887,629,YqzMP4aDhbg,54.0,https://www.youtube.com/watch?v=YqzMP4aDhbg
Why Everyone Loved Saladin - Extra History #shorts,,2022-03-04,198064,16337,261,SNal7kchWDs,54.0,https://www.youtube.com/watch?v=SNal7kchWDs
"Morris Cohen, Pickpocket to Chinese General!? Sun Yat-sen - Extra History #shorts",,2022-02-21,1536852,122739,332,BHyYRGELqbg,54.0,https://www.youtube.com/watch?v=BHyYRGELqbg
Empire of Brazil  - The Anarchy - South American History - Extra History - #4,,2022-02-19,529456,21326,619,Y6ZmbqGI2n4,728.0,https://www.youtube.com/watch?v=Y6ZmbqGI2n4
Kickstarting the Apocalypse - Grigori Rasputin & Alexander Scriabin - Extra History #shorts,,2022-02-18,127263,8120,89,AK3HxCOZZ6w,60.0,https://www.youtube.com/watch?v=AK3HxCOZZ6w
The Tulsa Massacre - The Burning of Black Wall Street - Extra History #shorts,,2022-02-07,136420,9176,186,_stKzG8aTyg,56.0,https://www.youtube.com/watch?v=_stKzG8aTyg
Profiling Cleopatra - Extra History #shorts,,2022-02-04,189973,12618,146,aqfqeiY6sKs,55.0,https://www.youtube.com/watch?v=aqfqeiY6sKs
Was the Bismarck Scuttled? Hunting The Bismarck | WW2 | Extra History #shorts,,2022-01-28,174640,10796,130,Ycv02dkzcvk,59.0,https://www.youtube.com/watch?v=Ycv02dkzcvk
The Man Who Stopped WWIII - Cuban Missile Crisis - Extra History #shorts,,2022-01-25,221448,14213,219,Rv49mQg3hiU,59.0,https://www.youtube.com/watch?v=Rv49mQg3hiU
Did Steampunk Samurai Exist? - End of the Samurai - Extra History #shorts,,2022-01-18,1690121,145722,745,5Bd49h15Q74,60.0,https://www.youtube.com/watch?v=5Bd49h15Q74
A Christmas Truce - The Truce Tree - Extra History #shorts,,2021-12-24,8887367,571003,1788,jvSjE-RR6sU,55.0,https://www.youtube.com/watch?v=jvSjE-RR6sU
Building Angkor - A Clash of Gods - Extra History - #3,,2019-10-26,425955,12499,466,BQeuakxNg94,560.0,https://www.youtube.com/watch?v=BQeuakxNg94
Suleiman the Magnificent - Sultan of Sultans - Extra History - #3,,2016-03-26,1913605,29992,1751,DqN0EFFUA6w,502.0,https://www.youtube.com/watch?v=DqN0EFFUA6w
