Episode,Published,Views,Likes,Comments,ID,Time (sec),URL
The Thirty Years War | European History | Extra History Complete,2025-03-15,706684,18490,561,CaMe0SVcCKc,2817.0,https://www.youtube.com/watch?v=CaMe0SVcCKc
Best Days in History: Penicillin | Kickstarter Voted Topic #shorts,2025-03-13,4837970,486776,2243,2AmsNrsyzYs,67.0,https://www.youtube.com/watch?v=2AmsNrsyzYs
The Unholy Roman Emperor Frederick II | LIES | Extra History,2025-03-12,49308,1650,63,9dqqLw2HrCU,1769.0,https://www.youtube.com/watch?v=9dqqLw2HrCU
King of the Fairies: Goodwin Wharton | European History | Extra History,2025-03-08,319303,13072,520,bN0363lM3OM,1052.0,https://www.youtube.com/watch?v=bN0363lM3OM
The Thief Taker General | Worst Bosses in History #shorts,2025-03-06,855458,85172,219,unXJ5maJMas,86.0,https://www.youtube.com/watch?v=unXJ5maJMas
The Outrageous Sir Francis Drake Fake | Best Pranks in History | Extra History #shorts,2025-02-27,2818404,286480,676,6TN1i_FUH9w,64.0,https://www.youtube.com/watch?v=6TN1i_FUH9w
The Unholy Roman Emperor Frederick II 3: Savior or Antichrist | European History | Extra History,2025-02-22,337716,13816,376,4GZPc68Kz2w,1043.0,https://www.youtube.com/watch?v=4GZPc68Kz2w
Roman Emperors Fratricide | Worst Kids in History #shorts,2025-02-20,3198956,264280,650,fLn465Qee80,60.0,https://www.youtube.com/watch?v=fLn465Qee80
Sun Yat-sen | Chinese History | Extra History Complete,2025-02-15,606170,14449,436,sUi-yNyCNek,3300.0,https://www.youtube.com/watch?v=sUi-yNyCNek
How World War II Shaped Manga | Extra History #shorts,2025-02-13,1898135,174341,485,RccuZhf5FwI,63.0,https://www.youtube.com/watch?v=RccuZhf5FwI
The Unholy Roman Emperor Frederick II 2: Excommunicated Again | European History | Extra History,2025-02-08,397161,15281,449,ottbSSTiCcw,1048.0,https://www.youtube.com/watch?v=ottbSSTiCcw
The TRUTH About Tarot | Extra History #shorts,2025-02-06,472069,36041,272,B0enMBuOyw4,72.0,https://www.youtube.com/watch?v=B0enMBuOyw4
Nazi War Criminal’s Favorite Soap Opera? | Extra History #shorts,2025-01-30,3217360,269952,1084,znj6EDinV_g,61.0,https://www.youtube.com/watch?v=znj6EDinV_g
