Episode,Published,Views,Likes,Comments,ID,Time (sec),URL
Extra Credits has Moved! - Simons Quest Playthrough,2023-01-11,31481,916,132,b9XJPAxN1y0,1848.0,https://www.youtube.com/watch?v=b9XJPAxN1y0
Path to Pearl Harbor: LIES | WW2 | Extra History,2023-01-07,91650,2537,144,jfFyKUq5ikI,2125.0,https://www.youtube.com/watch?v=jfFyKUq5ikI
"♫ The Path to Pearl Harbor ""4,000 Miles"" By Tiffany Roman  - Instrumental Music - Extra History",2023-01-06,59773,1153,39,dqEFGsIXNbg,99.0,https://www.youtube.com/watch?v=dqEFGsIXNbg
Day of Infamy - The Path to Pearl Harbor - WWII - Part 6  - Extra History,2022-12-31,413207,15559,609,aD8XSGHnIJo,739.0,https://www.youtube.com/watch?v=aD8XSGHnIJo
Animal Farm - George Orwell - So You Haven't Read,2022-12-28,1138296,36188,1497,humVU3QGkuk,639.0,https://www.youtube.com/watch?v=humVU3QGkuk
Path to Pearl Harbor 5: Climb Mount Niitaka | WW2 | Extra History,2022-12-24,412202,14207,295,TqUBjJBqgQw,743.0,https://www.youtube.com/watch?v=TqUBjJBqgQw
Extra Credits has Moved! - Elden Ring Playthough,2022-12-21,90547,2740,126,uOhRNfqA0Wg,770.0,https://www.youtube.com/watch?v=uOhRNfqA0Wg
Path to Pearl Harbor 4: Countdown to War | WW2 | Extra History,2022-12-17,476792,15126,301,JEOyNwtFX3c,741.0,https://www.youtube.com/watch?v=JEOyNwtFX3c
Little Women - Louisa May Alcott - So You Haven't Read,2022-12-14,128345,4818,185,_yhm97aMxt4,567.0,https://www.youtube.com/watch?v=_yhm97aMxt4
The Eggnog Riot: Christmas Chaos at West Point -  US History - Extra History,2022-12-12,399412,20127,833,lljT4GW7ymc,791.0,https://www.youtube.com/watch?v=lljT4GW7ymc
Path to Pearl Harbor 3: First Strike | WW2 | Extra History,2022-12-10,491035,15328,294,_8V9CKSx6Bg,677.0,https://www.youtube.com/watch?v=_8V9CKSx6Bg
Santa's Dark Origins - Extra History #shorts,2022-12-08,678003,51663,319,COgtIJljmIY,58.0,https://www.youtube.com/watch?v=COgtIJljmIY
Extra Credits Has Moved - Matt & Kat play Mario Kart 8,2022-12-07,72705,2146,154,s8ADy5BEXM8,436.0,https://www.youtube.com/watch?v=s8ADy5BEXM8
The Future of Extra Credits,2022-12-05,357810,18670,1362,hgwQkLgbF1Q,314.0,https://www.youtube.com/watch?v=hgwQkLgbF1Q
Path to Pearl Harbor 2: Mystery of the Panay | WW2 | Extra History,2022-12-03,548980,16947,418,9lZDfVMOyK0,728.0,https://www.youtube.com/watch?v=9lZDfVMOyK0
Othello - William Shakespeare - So You Haven't Read,2022-11-30,133448,5487,217,rGxA51H6EpU,680.0,https://www.youtube.com/watch?v=rGxA51H6EpU
Path to Pearl Harbor 1: Pacific Empires - Japan vs. USA | WW2 | Extra History,2022-11-26,899382,24251,592,CxeiSM1edHE,771.0,https://www.youtube.com/watch?v=CxeiSM1edHE
The Irish Easter Rising - LIES  - Extra History,2022-11-19,52615,1582,134,zNPkBXKW784,1506.0,https://www.youtube.com/watch?v=zNPkBXKW784
"♫ The Irish Easter Rising ""Loss and Dreams"" By Tiffany Roman  - Instrumental Music - Extra History",2022-11-18,59385,1162,56,3w2w-j2Js2U,120.0,https://www.youtube.com/watch?v=3w2w-j2Js2U
Learn to Play D&D - Dragons of Stormwreck Isle - Part 2 - Actual Play - Extra Credits Plays,2022-11-15,30739,643,49,5EQv6_B8lT8,8984.0,https://www.youtube.com/watch?v=5EQv6_B8lT8
The Battle of Culloden - Scottish History - Extra History,2022-11-12,673279,23248,779,h0YZHYsOjtk,735.0,https://www.youtube.com/watch?v=h0YZHYsOjtk
The Hound of the Baskervilles - Sir Arthur Conan Doyle - So You Haven't Read,2022-11-09,178900,6468,301,pWuvcebflyE,659.0,https://www.youtube.com/watch?v=pWuvcebflyE
Death and Rebirth - The Irish Easter Rising - Part 5 - Extra History,2022-11-05,301627,12507,473,7UHamkZ3qKU,704.0,https://www.youtube.com/watch?v=7UHamkZ3qKU
Learn to Play D&D - Dragons of Stormwreck Isle - Part 1 - Actual Play - Extra Credits Plays,2022-11-04,128212,2427,162,c09e3cnSwLQ,14808.0,https://www.youtube.com/watch?v=c09e3cnSwLQ
Rise and Fall - The Irish Easter Rising - Part 4 - Extra History,2022-10-29,338765,12818,308,Qzvv9IgNiKM,715.0,https://www.youtube.com/watch?v=Qzvv9IgNiKM
The Sandman - Neil Gaiman - So You Haven't Read,2022-10-26,181541,7959,433,EFnpqWQeu8o,683.0,https://www.youtube.com/watch?v=EFnpqWQeu8o
The Battle for Dublin - The Irish Easter Rising - Part 3  - Extra History,2022-10-22,405900,13956,476,qP1cXrgQ71E,647.0,https://www.youtube.com/watch?v=qP1cXrgQ71E
D&D Stormwreck Isle One-Shot Announcement - Extra Credits Plays #shorts,2022-10-17,159230,9314,58,6LvyIl3rNpE,60.0,https://www.youtube.com/watch?v=6LvyIl3rNpE
The Eve of Revolution -The Irish Easter Rising - Part 2 - Extra History,2022-10-15,461082,15119,341,v1BiUVP9e4U,710.0,https://www.youtube.com/watch?v=v1BiUVP9e4U
Battle Royale - Koushun Takami - So You Haven't Read,2022-10-12,164800,7272,316,xUHeNXv65WE,607.0,https://www.youtube.com/watch?v=xUHeNXv65WE
Seeds of Rebellion - The Irish Easter Rising - Part 1 - Extra History,2022-10-09,703323,22611,716,YWMWUJXF--I,753.0,https://www.youtube.com/watch?v=YWMWUJXF--I
Eleanor of Aquitaine - LIES - European History - Extra History,2022-10-01,63917,1956,136,sOTYzWonpK4,1732.0,https://www.youtube.com/watch?v=sOTYzWonpK4
"♫ Eleanor of Aquitaine: ""Rebel Queen"" By Tiffany Roman  - Instrumental Music - Extra History",2022-09-30,42882,986,46,QFDdw92v7w4,100.0,https://www.youtube.com/watch?v=QFDdw92v7w4
Get Your Rifles - Battle of Blair Mountain - US History - Part 2 - Extra History,2022-09-24,485933,20628,949,jklZYrkEtEs,716.0,https://www.youtube.com/watch?v=jklZYrkEtEs
Wuthering Heights - Emily Brontë - So You Haven't Read,2022-09-21,123766,4957,383,Pm54yK_npUI,684.0,https://www.youtube.com/watch?v=Pm54yK_npUI
"""Union Busting"" - Battle of Blair Mountain - US History - Part 1 - Extra History",2022-09-17,697126,26698,1059,vg9xywAxb10,673.0,https://www.youtube.com/watch?v=vg9xywAxb10
Mother of Empires - Eleanor of Aquitaine - European History - Part 4 - Extra History,2022-09-10,419807,17975,498,NSSh1AfFrwA,702.0,https://www.youtube.com/watch?v=NSSh1AfFrwA
The Taming of the Shrew - William Shakespeare - So You Haven't Read,2022-09-07,168009,5940,357,PpvFAAFCoXY,598.0,https://www.youtube.com/watch?v=PpvFAAFCoXY
The Devil's Brood - Eleanor of Aquitaine - European History - Part 3 - Extra History,2022-09-03,469091,16603,394,z8a2_kEKXn0,622.0,https://www.youtube.com/watch?v=z8a2_kEKXn0
The Court of Love -  Eleanor of Aquitaine - European History - Part 2 - Extra History,2022-08-27,546332,18486,470,4_KgUiDUPs0,642.0,https://www.youtube.com/watch?v=4_KgUiDUPs0
High Fidelity - Nick Hornby - So You Haven't Read,2022-08-24,89622,3873,156,WykvFDfBn5c,536.0,https://www.youtube.com/watch?v=WykvFDfBn5c
Divorcing a King - Eleanor of Aquitaine - European History - Part 1 - Extra History,2022-08-20,755860,24907,719,fjalQSOLZE4,600.0,https://www.youtube.com/watch?v=fjalQSOLZE4
Kings Of Solomon Ethiopia Empire - LIES - Extra History,2022-08-13,58804,1810,130,2zvWcJvra_g,1698.0,https://www.youtube.com/watch?v=2zvWcJvra_g
"♫ The Ethiopian Empire: ""Abyssinia"" By Tiffany Roman  - Instrumental Music - Extra History",2022-08-11,40926,995,64,H1sgV_3MeKw,127.0,https://www.youtube.com/watch?v=H1sgV_3MeKw
Kings of Solomon - The Battle of Adwa - Ethiopian Empire - Part 6 - Extra History,2022-08-06,277356,11833,433,HI5A_2DKm_0,743.0,https://www.youtube.com/watch?v=HI5A_2DKm_0
The Remains of the Day - Kazuo Ishiguro - So you Haven't Read,2022-08-03,104183,4372,96,DfWj3qGD6AY,441.0,https://www.youtube.com/watch?v=DfWj3qGD6AY
Kings of Solomon: The Barefoot Emperor - Ethiopian Empire - Part 5 - Extra History,2022-07-30,256516,11168,341,ZJerzcod8yw,666.0,https://www.youtube.com/watch?v=ZJerzcod8yw
Kings of Solomon: Time of Judges - Ethiopian Empire - Part 4 - Extra History,2022-07-23,285458,11362,441,oAsURqXz5EM,591.0,https://www.youtube.com/watch?v=oAsURqXz5EM
Murder on the Orient Express - Agatha Christie - So You Haven't Read,2022-07-20,200622,7500,409,0JmgZaSQoYM,488.0,https://www.youtube.com/watch?v=0JmgZaSQoYM
Kings of Solomon: Church and State - Ethiopian Empire - Part 3 - Extra History,2022-07-16,327935,12736,334,GdS10vtF2Q8,641.0,https://www.youtube.com/watch?v=GdS10vtF2Q8
Kings of Solomon: New Jerusalem - Ethiopian Empire - Part 2 - Extra History,2022-07-02,402040,14733,551,9lQJxcYL6Hk,662.0,https://www.youtube.com/watch?v=9lQJxcYL6Hk
Their Eyes Were Watching God - Zora Neale Hurston - So You Haven't Read,2022-06-29,116642,4893,127,nq_xmL9gbkw,550.0,https://www.youtube.com/watch?v=nq_xmL9gbkw
Kings of Solomon: Not Prester John - Ethiopian Empire - Part 1 - Extra History,2022-06-25,601489,22131,900,ZtbLrCrm56Y,649.0,https://www.youtube.com/watch?v=ZtbLrCrm56Y
"♫ Tulip Mania: ""First Financial Bubble"" By Tiffany Roman  - Instrumental Music - Extra History",2022-06-18,54840,1371,68,b2EhkP72ELc,100.0,https://www.youtube.com/watch?v=b2EhkP72ELc
Tulip Mania  - LIES - European History - Extra History,2022-06-18,57347,1757,151,ZbuFKZVdMUo,1977.0,https://www.youtube.com/watch?v=ZbuFKZVdMUo
Billie Holiday vs The US Government - US History - Extra History,2022-06-11,288354,14673,547,bg9uCnCwGsM,603.0,https://www.youtube.com/watch?v=bg9uCnCwGsM
The Importance of Being Earnest - Oscar Wilde - So You Haven't Read,2022-06-08,309510,10829,299,OvJz1KbdLhc,549.0,https://www.youtube.com/watch?v=OvJz1KbdLhc
Eternal Madness - Tulip Mania - European History - Part 5 - Extra History,2022-06-04,339655,14446,425,7GApMtJ1QZQ,626.0,https://www.youtube.com/watch?v=7GApMtJ1QZQ
"""Kill the Indian, Save the Man"" - Carlisle Boarding School - US History - Extra History",2022-06-03,356696,16498,1206,fbRBNSjT_FQ,612.0,https://www.youtube.com/watch?v=fbRBNSjT_FQ
The Crash - Tulip Mania - European History - Part 4 - Extra History,2022-05-28,371188,15098,384,GpDxENI64zI,580.0,https://www.youtube.com/watch?v=GpDxENI64zI
Tom King's Coffee House of Debauchery!  - The History of Coffee - Extra History #shorts,2022-05-27,356512,28766,102,QO64ns38TW8,56.0,https://www.youtube.com/watch?v=QO64ns38TW8
Oedipus the King - Sophocles - So You Haven't Read,2022-05-25,299381,9659,336,6eetzJXoAKk,554.0,https://www.youtube.com/watch?v=6eetzJXoAKk
Lord of the Flies Rejected? #literature #shorts,2022-05-23,179074,12769,116,MQqYsmv_gh4,58.0,https://www.youtube.com/watch?v=MQqYsmv_gh4
To the Moon! - Tulip Mania - European History - Part 3 - Extra History,2022-05-21,411605,15428,416,h8Ng74D_9_Q,606.0,https://www.youtube.com/watch?v=h8Ng74D_9_Q
Guzzling Hot Gold! - Rome & The Third Century Crisis - Extra History #shorts,2022-05-20,2451250,160331,422,PodZmTAZ91A,55.0,https://www.youtube.com/watch?v=PodZmTAZ91A
Don't Steal Roosevelt's Boat! - Extra History #shorts,2022-05-16,8664310,601882,2621,jkzQcVN6Xn4,55.0,https://www.youtube.com/watch?v=jkzQcVN6Xn4
Farming Gold! - Tulip Mania - European History - Part 2 - EXTRA HISTORY,2022-05-14,448930,16510,421,BgBdUWL85nI,612.0,https://www.youtube.com/watch?v=BgBdUWL85nI
Execution Elephants - Ibn Battuta - Extra History #shorts,2022-05-13,1752617,117339,306,Da8YTROteV8,54.0,https://www.youtube.com/watch?v=Da8YTROteV8
The Joy Luck Club - Amy Tan - So You Haven't Read,2022-05-11,147914,5651,169,sIj3d9G8Sx0,503.0,https://www.youtube.com/watch?v=sIj3d9G8Sx0
The Lemon Juice Bandit! Dunning Kruger Effect & Imposter Syndrome - Extra Credits #shorts,2022-05-09,5749841,472329,1509,vLuBDq_kJjE,56.0,https://www.youtube.com/watch?v=vLuBDq_kJjE
The Worlds First Financial Bubble? - Tulip Mania - European History - Part 1 - Extra History,2022-05-07,645002,25509,1016,QL5-YbvmYLE,635.0,https://www.youtube.com/watch?v=QL5-YbvmYLE
Genghis Khan‘s Kids - Extra History #shorts,2022-05-06,8326572,570199,1342,-Mj28P2op0s,58.0,https://www.youtube.com/watch?v=-Mj28P2op0s
The Ultimate Warship - Admiral Yi - Extra History #shorts,2022-05-02,337051,35025,240,XnMCtt31fds,56.0,https://www.youtube.com/watch?v=XnMCtt31fds
"♫ History of Beer: ""Prost!"" By Tiffany Roman  - Animated Instrumental Music Video - Extra History",2022-04-30,40504,1224,61,0UwR_D1c2Hg,80.0,https://www.youtube.com/watch?v=0UwR_D1c2Hg
History of Beer - LIES - World History - Extra History,2022-04-30,71804,2332,184,8-p-4Cw0ElI,1715.0,https://www.youtube.com/watch?v=8-p-4Cw0ElI
Crusader Goose!!! - The First Crusade - Extra History #shorts,2022-04-29,1917390,166118,601,ArxHmXig-9E,59.0,https://www.youtube.com/watch?v=ArxHmXig-9E
New England Vampire Panic  - US History - Extra History,2022-04-28,511634,22525,516,hIP_joTOyek,591.0,https://www.youtube.com/watch?v=hIP_joTOyek
The B-Day that Changed D-Day | WW2 | Extra History #shorts,2022-04-25,12622313,768738,2662,7o83vZczieU,54.0,https://www.youtube.com/watch?v=7o83vZczieU
The Great Disappointment - US History - Extra History,2022-04-23,670748,24047,1374,4z80wKIwW6w,666.0,https://www.youtube.com/watch?v=4z80wKIwW6w
The Swedish Meteor - The Great Northern War - Extra History #shorts,2022-04-22,326388,25713,221,pma42bjrEMI,56.0,https://www.youtube.com/watch?v=pma42bjrEMI
Macbeth - William Shakespeare - So You Haven't Read,2022-04-20,237648,8548,346,jg6cSJS0NaI,595.0,https://www.youtube.com/watch?v=jg6cSJS0NaI
Dating Jane Austen - Pride and Prejudice #literature #shorts,2022-04-18,262362,18035,55,uXbIVaKm4uQ,53.0,https://www.youtube.com/watch?v=uXbIVaKm4uQ
History of Beer - Rise of the Beer Barons - World History - Extra History - Part 5,2022-04-17,386852,16211,626,QIKD5fGbvbc,634.0,https://www.youtube.com/watch?v=QIKD5fGbvbc
THAT Horse Rumor... Catherine the Great - Extra History #shorts,2022-04-15,1667472,113942,845,uG7-ygCoklc,54.0,https://www.youtube.com/watch?v=uG7-ygCoklc
YOU Should Make a Video Game  - Extra Credits #shorts,2022-04-11,153963,10395,113,-KrlhQW8XDM,47.0,https://www.youtube.com/watch?v=-KrlhQW8XDM
History of Beer - Fermenting Revolution - World History - Extra History - Part 4,2022-04-09,427722,15441,388,6pl-MuQHHTE,638.0,https://www.youtube.com/watch?v=6pl-MuQHHTE
The Perfect Biological Weapon? - Hogs in History! - Extra History #shorts,2022-04-08,308648,27691,278,E24KMDW83zk,60.0,https://www.youtube.com/watch?v=E24KMDW83zk
The Diary of a Young Girl - Anne Frank - So You Haven't Read,2022-04-06,484624,12269,531,MiVehITTbkk,512.0,https://www.youtube.com/watch?v=MiVehITTbkk
The 1907 Stock Market Crash - Extra History #shorts,2022-04-04,157663,8700,50,0S4ZVkeu2cw,55.0,https://www.youtube.com/watch?v=0S4ZVkeu2cw
History of Beer  - Hopping Mad - World History - Extra History - Part 3,2022-04-02,469293,16648,340,nbzZKKDjxLE,660.0,https://www.youtube.com/watch?v=nbzZKKDjxLE
Murder by Window! - Defenestration: A Symbol of Rebellion! - Extra History #shorts,2022-03-31,140195,8451,129,lC-a48m3Nbs,57.0,https://www.youtube.com/watch?v=lC-a48m3Nbs
Lord of the Flies - William Golding - So You Haven't Read,2022-03-30,383681,14389,442,rfLX0HZY5OE,557.0,https://www.youtube.com/watch?v=rfLX0HZY5OE
EVERYONE Hates Moral Philosophy... Except Game Writers - Trolley Problem - Extra Credits #shorts,2022-03-28,278267,17836,196,BQ_pCK6TfZM,48.0,https://www.youtube.com/watch?v=BQ_pCK6TfZM
History of Beer  - Barbarian Brew - World History - Extra History - Part 2,2022-03-26,534373,18843,508,RgV9s9ez2cc,623.0,https://www.youtube.com/watch?v=RgV9s9ez2cc
Who Invented Banking? - History of Paper Money - Extra History #shorts,2022-03-25,2109898,193561,943,iatuI91U-e0,59.0,https://www.youtube.com/watch?v=iatuI91U-e0
Beowulf’s BIGGEST Boast! - Extra Mythology #shorts,2022-03-21,2484581,197878,371,-Qsi1fie1sY,57.0,https://www.youtube.com/watch?v=-Qsi1fie1sY
History of Beer - Building a Civilization - World History - Extra History - Part 1,2022-03-19,767992,26861,824,KJsWaJVtZWA,662.0,https://www.youtube.com/watch?v=KJsWaJVtZWA
"Charles VI ALMOST got ""Fired"" - Joan of Arc - Extra History #shorts",2022-03-18,1631028,130309,364,zuxe_RocVNA,52.0,https://www.youtube.com/watch?v=zuxe_RocVNA
Persepolis - Marjane Satrapi - So You Haven't Read,2022-03-16,214570,8858,289,PrEL9ehTWk0,561.0,https://www.youtube.com/watch?v=PrEL9ehTWk0
Dracula SUCKED at being a Vampire! - Vlad The Impaler - Extra History #shorts,2022-03-14,136569,9521,92,1yGN9vxqBOs,59.0,https://www.youtube.com/watch?v=1yGN9vxqBOs
Empire of Brazil - LIES - South American History - Extra History,2022-03-12,94146,3343,172,PmLPXWGUdPU,1587.0,https://www.youtube.com/watch?v=PmLPXWGUdPU
"♫ ""Independência do Brasi"" - Empire of Brazil - Music Video - Extra History",2022-03-12,68944,1518,48,aGXDlc-oqao,146.0,https://www.youtube.com/watch?v=aGXDlc-oqao
Pirate Love Triangle - Cheng I Sao - Extra History #shorts,2022-03-11,2779162,223887,629,YqzMP4aDhbg,54.0,https://www.youtube.com/watch?v=YqzMP4aDhbg
"Live, Die, Re-Load - Save Scumming - Extra Credits #shorts",2022-03-07,136690,8444,147,yMxQuhLaRlQ,50.0,https://www.youtube.com/watch?v=yMxQuhLaRlQ
Mary Toft: The Woman Who Gave Birth to Rabbits - European History - Extra History,2022-03-05,408320,18249,553,lXSfufPrWiU,667.0,https://www.youtube.com/watch?v=lXSfufPrWiU
Why Everyone Loved Saladin - Extra History #shorts,2022-03-04,198064,16337,261,SNal7kchWDs,54.0,https://www.youtube.com/watch?v=SNal7kchWDs
Why Humans Love Hell - A Tour of Hades - Extra Mythology #shorts,2022-02-28,153604,9450,130,98SH5ZSN6iY,59.0,https://www.youtube.com/watch?v=98SH5ZSN6iY
Empire of Brazil - Breaking Bonds - South American History - Extra History - Part 5,2022-02-26,487546,20776,547,QywX2lN6rbY,641.0,https://www.youtube.com/watch?v=QywX2lN6rbY
Who Really Wrote The Count of Monte Cristo? #literature #shorts,2022-02-25,100572,6052,42,CFQg4fKM5YQ,46.0,https://www.youtube.com/watch?v=CFQg4fKM5YQ
Long Way Down - Jason Reynolds - So You Haven't Read,2022-02-23,264242,4188,175,1ShNefClAOs,463.0,https://www.youtube.com/watch?v=1ShNefClAOs
"Morris Cohen, Pickpocket to Chinese General!? Sun Yat-sen - Extra History #shorts",2022-02-21,1536852,122739,332,BHyYRGELqbg,54.0,https://www.youtube.com/watch?v=BHyYRGELqbg
Empire of Brazil  - The Anarchy - South American History - Extra History - #4,2022-02-19,529456,21326,619,Y6ZmbqGI2n4,728.0,https://www.youtube.com/watch?v=Y6ZmbqGI2n4
Kickstarting the Apocalypse - Grigori Rasputin & Alexander Scriabin - Extra History #shorts,2022-02-18,127263,8120,89,AK3HxCOZZ6w,60.0,https://www.youtube.com/watch?v=AK3HxCOZZ6w
Maya Angelou - Voice of the Voiceless - US History - Extra History,2022-02-17,119024,6437,181,j0hVDHpYeqg,566.0,https://www.youtube.com/watch?v=j0hVDHpYeqg
Computers LOVE Shakespeare - Romeo and Juliet #literature #shorts,2022-02-14,98094,5455,31,aFcFTs0GFEw,48.0,https://www.youtube.com/watch?v=aFcFTs0GFEw
Empire of Brazil - Family Drama - South American History - Extra History - Part 3,2022-02-12,564625,22049,577,Cug8DeQWsEk,686.0,https://www.youtube.com/watch?v=Cug8DeQWsEk
Roblox Stocks! - Extra Credits #shorts,2022-02-11,127410,7367,156,v1p29ys_pJU,56.0,https://www.youtube.com/watch?v=v1p29ys_pJU
A Midsummer Nights Dream - William Shakespeare - So You Haven't Read,2022-02-09,146934,5501,196,yojBNcxED6s,585.0,https://www.youtube.com/watch?v=yojBNcxED6s
The Tulsa Massacre - The Burning of Black Wall Street - Extra History #shorts,2022-02-07,136420,9176,186,_stKzG8aTyg,56.0,https://www.youtube.com/watch?v=_stKzG8aTyg
Empire of Brazil - Independence or DEATH! - South American History - Extra History - Part 2,2022-02-05,671207,24969,601,N9Qb-CRXGyg,634.0,https://www.youtube.com/watch?v=N9Qb-CRXGyg
Profiling Cleopatra - Extra History #shorts,2022-02-04,189973,12618,146,aqfqeiY6sKs,55.0,https://www.youtube.com/watch?v=aqfqeiY6sKs
The Beatles in a Hobbit Movie?!  #literature #shorts,2022-01-31,120739,6979,65,D_DR15fB2aM,51.0,https://www.youtube.com/watch?v=D_DR15fB2aM
Empire of Brazil - Runaway Monarch - South American History - Extra History - Part 1,2022-01-29,927589,33739,1090,DzUNfnVnIkw,569.0,https://www.youtube.com/watch?v=DzUNfnVnIkw
Was the Bismarck Scuttled? Hunting The Bismarck | WW2 | Extra History #shorts,2022-01-28,174640,10796,130,Ycv02dkzcvk,59.0,https://www.youtube.com/watch?v=Ycv02dkzcvk
Pride & Prejudice - Jane Austen - So You Haven't Read,2022-01-26,193910,8157,271,5jSSRnphe24,508.0,https://www.youtube.com/watch?v=5jSSRnphe24
The Man Who Stopped WWIII - Cuban Missile Crisis - Extra History #shorts,2022-01-25,221448,14213,219,Rv49mQg3hiU,59.0,https://www.youtube.com/watch?v=Rv49mQg3hiU
"♫ ""Paranoia"" - Japanese Militarism - Extra History Music",2022-01-24,120497,2412,76,X2HyiKs5bXc,90.0,https://www.youtube.com/watch?v=X2HyiKs5bXc
Japanese Militarism - LIES - Extra History,2022-01-24,107600,3443,224,m_MmSc1H2m0,1629.0,https://www.youtube.com/watch?v=m_MmSc1H2m0
Did Steampunk Samurai Exist? - End of the Samurai - Extra History #shorts,2022-01-18,1690121,145722,745,5Bd49h15Q74,60.0,https://www.youtube.com/watch?v=5Bd49h15Q74
The Zimmermann Telegram - Best of Frenemies - WWI History - Extra History,2022-01-15,565084,20915,575,aOT9F6pU_qY,620.0,https://www.youtube.com/watch?v=aOT9F6pU_qY
Japanese Militarism - Marco... Polo... - Extra History - Part 5,2022-01-08,564842,19545,621,_JC_fFkj5g4,651.0,https://www.youtube.com/watch?v=_JC_fFkj5g4
Beloved - Toni Morrison - So You Haven't Read,2022-01-05,130051,6141,179,AJQQFfERBAA,572.0,https://www.youtube.com/watch?v=AJQQFfERBAA
Japanese Militarism - Government by Assassination - Extra History - Part 4,2022-01-01,563963,19340,712,gKXRPjYcNuU,616.0,https://www.youtube.com/watch?v=gKXRPjYcNuU
Götz of the Iron Hand - Cyborg Knight Prosthetics - European History - Extra History,2021-12-30,612429,28116,999,tu6cvBtMIGU,570.0,https://www.youtube.com/watch?v=tu6cvBtMIGU
"""The History of Zoey"" by: Zoey the Cat - Animated Short Film",2021-12-29,160630,14925,846,zllXsM5X4QE,180.0,https://www.youtube.com/watch?v=zllXsM5X4QE
Krampus Battles - A Christmas Story - Extra Mythology #shorts,2021-12-27,1956455,134979,573,JpwrWaQB2P0,58.0,https://www.youtube.com/watch?v=JpwrWaQB2P0
Japanese Militarism - Blood on the Railway - Extra History - Part 3,2021-12-25,614613,19189,360,39VVdj1t76Y,656.0,https://www.youtube.com/watch?v=39VVdj1t76Y
A Christmas Truce - The Truce Tree - Extra History #shorts,2021-12-24,8887367,571003,1788,jvSjE-RR6sU,55.0,https://www.youtube.com/watch?v=jvSjE-RR6sU
A Christmas Carol - Charles Dickens - So you Haven't Read,2021-12-22,194113,8429,397,sROZz8QpSCA,562.0,https://www.youtube.com/watch?v=sROZz8QpSCA
The Ferocious Yule Cat - Holiday Myths - Extra Mythology #shorts,2021-12-20,246454,18317,195,8wYmB1gN6nA,55.0,https://www.youtube.com/watch?v=8wYmB1gN6nA
Japanese Militarism - Taisho Democracy - Extra History - Part 2,2021-12-18,736240,22273,639,DcuvpihOmrQ,669.0,https://www.youtube.com/watch?v=DcuvpihOmrQ
Japanese Militarism - Drawing the Knife - Extra History - Part 1,2021-12-11,1024758,31038,594,JEG09-Aynco,632.0,https://www.youtube.com/watch?v=JEG09-Aynco
The Hobbit - J. R. R. Tolkien - So You Haven't Read,2021-12-08,275410,10567,561,RzvQ3i5BS_Q,612.0,https://www.youtube.com/watch?v=RzvQ3i5BS_Q
"♫ ""British India"" - Conquest of India  -  Extra History Music",2021-12-04,82547,1728,92,HhhkM7PlLaM,88.0,https://www.youtube.com/watch?v=HhhkM7PlLaM
Conquest of India - LIES - Extra History,2021-12-04,87789,2672,237,SlMS3RcFI9k,1547.0,https://www.youtube.com/watch?v=SlMS3RcFI9k
Vampire The Masquerade The Heist - One Shot Actual Play - Extra Credits Plays,2021-12-01,27654,723,74,z7snyixd0PY,10232.0,https://www.youtube.com/watch?v=z7snyixd0PY
The Cotton Gin - Seeds of a Lie - US History - Extra History,2021-11-27,706893,29682,1255,3IqNot1lxTM,567.0,https://www.youtube.com/watch?v=3IqNot1lxTM
Conquest of India - The Empty Chair - Extra History - Part 5,2021-11-20,481535,18464,790,o0vBdP5hFng,659.0,https://www.youtube.com/watch?v=o0vBdP5hFng
The Discovery of Insulin - Free-for-all - Medical History - Extra History - Part 2,2021-11-18,335668,14491,502,Qs_QCJv3HrA,593.0,https://www.youtube.com/watch?v=Qs_QCJv3HrA
Romeo and Juliet - William Shakespeare - So You Haven't Read,2021-11-17,248542,9827,496,3bBSMsOr4iU,610.0,https://www.youtube.com/watch?v=3bBSMsOr4iU
Conquest of India - The Company Raj - Extra History - Part 4,2021-11-13,537236,19947,772,ZYIf2MtIcEY,657.0,https://www.youtube.com/watch?v=ZYIf2MtIcEY
The Discovery of Insulin  - The Miracle - Medical History - Extra History - Part 1,2021-11-11,421170,17396,769,jn4HvRkBbfk,574.0,https://www.youtube.com/watch?v=jn4HvRkBbfk
Conquest of India - The Black Hole - Extra History - Part 3,2021-11-06,608385,20098,802,x1JwJJybHDs,637.0,https://www.youtube.com/watch?v=x1JwJJybHDs
To Kill a Mockingbird - Harper Lee - So You Haven't Read,2021-11-03,342666,13454,527,XaTtPIHGzjk,524.0,https://www.youtube.com/watch?v=XaTtPIHGzjk
Conquest of India - East India Companies - Extra History - Part 2,2021-10-30,651914,21535,875,AqCWlABVddY,620.0,https://www.youtube.com/watch?v=AqCWlABVddY
Conquest of India - A Historical Paradox - Extra History - Part 1,2021-10-23,874166,29318,1406,E4vonIphF4E,637.0,https://www.youtube.com/watch?v=E4vonIphF4E
Dracula - Bram Stoker - So You Haven't Read,2021-10-20,425999,16987,659,MPfZI3al-Hc,623.0,https://www.youtube.com/watch?v=MPfZI3al-Hc
Grigori Rasputin - LIES - Russian History - Extra History,2021-10-16,92410,2852,202,-a4aptt3HTA,1578.0,https://www.youtube.com/watch?v=-a4aptt3HTA
"♫ ""Mad Monk"" - Grigori Rasputin - Extra History Music",2021-10-16,81535,1759,76,tAglQLZBGzE,93.0,https://www.youtube.com/watch?v=tAglQLZBGzE
