title,published,views,likes,comments,video_id,duration,url,days_since_start,final_cluster,series_name
Wu Zetian: China’s Most Famous Murder - Chinese History - Part 2 - Extra History,2024-01-06,459217,16927.0,352.0,xmOM-Ng2hKw,622.0,https://www.youtube.com/watch?v=xmOM-Ng2hKw,3774,27,Chinese History
Wu Zetian: Bloody Ghosts and Riots - Chinese History - Part 3 - Extra History,2024-01-13,424846,15958.0,229.0,Ujw7ndmOGPk,662.0,https://www.youtube.com/watch?v=Ujw7ndmOGPk,3781,27,Chinese History
Wu Zetian: Finally Emperor - Chinese History - Part 4 - Extra History,2024-01-20,333517,12948.0,179.0,dd8PXhuU1K8,637.0,https://www.youtube.com/watch?v=dd8PXhuU1K8,3788,27,Chinese History
Wu Zetian: Boy-Toys and Buddhas - Chinese History - Part 5 - Extra History,2024-01-27,316464,13916.0,255.0,omh_ReMW74M,617.0,https://www.youtube.com/watch?v=omh_ReMW74M,3795,27,Chinese History
Empress Wu Zetian - LIES - Chinese History - Extra History,2024-02-10,85279,2259.0,104.0,rt1uePpPqCQ,1222.0,https://www.youtube.com/watch?v=rt1uePpPqCQ,3809,27,Chinese History
Conquest of India - A Historical Paradox - Extra History - Part 1,2021-10-23,874166,29318.0,1406.0,E4vonIphF4E,637.0,https://www.youtube.com/watch?v=E4vonIphF4E,2969,44,Conquest of India
Conquest of India - East India Companies - Extra History - Part 2,2021-10-30,651914,21535.0,875.0,AqCWlABVddY,620.0,https://www.youtube.com/watch?v=AqCWlABVddY,2976,44,Conquest of India
Conquest of India - The Black Hole - Extra History - Part 3,2021-11-06,608385,20098.0,802.0,x1JwJJybHDs,637.0,https://www.youtube.com/watch?v=x1JwJJybHDs,2983,44,Conquest of India
Conquest of India - The Company Raj - Extra History - Part 4,2021-11-13,537236,19947.0,772.0,ZYIf2MtIcEY,657.0,https://www.youtube.com/watch?v=ZYIf2MtIcEY,2990,44,Conquest of India
Conquest of India - The Empty Chair - Extra History - Part 5,2021-11-20,481535,18464.0,790.0,o0vBdP5hFng,659.0,https://www.youtube.com/watch?v=o0vBdP5hFng,2997,44,Conquest of India
Conquest of India - LIES - Extra History,2021-12-04,87789,2672.0,237.0,SlMS3RcFI9k,1547.0,https://www.youtube.com/watch?v=SlMS3RcFI9k,3011,44,Conquest of India
Cuban Missile Crisis - The Failed Checkmate - Extra History - Part 1,2018-02-15,4223728,57247.0,2421.0,xqJBibhR07w,658.0,https://www.youtube.com/watch?v=xqJBibhR07w,1623,65,Cuban Missile Crisis
Cuban Missile Crisis - Eyeball to Eyeball - Extra History - Part 2,2018-02-22,2893077,43162.0,1587.0,QQT4Dt82Kz0,660.0,https://www.youtube.com/watch?v=QQT4Dt82Kz0,1630,65,Cuban Missile Crisis
Cuban Missile Crisis - Black Saturday - Extra History - Part 3,2018-03-01,2406063,47372.0,2598.0,-Ox9wIZeZYg,664.0,https://www.youtube.com/watch?v=-Ox9wIZeZYg,1637,65,Cuban Missile Crisis
Dividing the Middle East - The Great Loot - Extra History - Part 1,2020-05-02,1172891,30484.0,1784.0,f2L6L37GGAY,582.0,https://www.youtube.com/watch?v=f2L6L37GGAY,2430,51,Dividing the Middle East
Dividing the Middle East - The Arab Revolt - Extra History - Part 2,2020-05-09,829732,22547.0,1325.0,jJCq5p8HCZo,569.0,https://www.youtube.com/watch?v=jJCq5p8HCZo,2437,51,Dividing the Middle East
Dividing the Middle East - Drawing Lines - Extra History - Part 3,2020-05-16,656095,20212.0,1403.0,0VoV_RQZDls,568.0,https://www.youtube.com/watch?v=0VoV_RQZDls,2444,51,Dividing the Middle East
Dividing the Middle East - Three Kings - Extra History - Part 4,2020-05-23,612994,17931.0,682.0,WU9TrSOnXkU,561.0,https://www.youtube.com/watch?v=WU9TrSOnXkU,2451,51,Dividing the Middle East
Dividing the Middle East - Setting the Board - Extra History - Part 5,2020-05-30,502955,17250.0,976.0,1zZ1A8sphjA,580.0,https://www.youtube.com/watch?v=1zZ1A8sphjA,2458,51,Dividing the Middle East
Dividing the Middle East - Lies - Extra History,2020-06-13,112590,2770.0,242.0,eNvhTkDkdqA,1724.0,https://www.youtube.com/watch?v=eNvhTkDkdqA,2472,51,Dividing the Middle East
Early Christian Schisms - Before Imperium - Extra History - Part 1,2016-04-30,2377076,39175.0,2631.0,E1ZZeCDGHJE,496.0,https://www.youtube.com/watch?v=E1ZZeCDGHJE,967,78,Early Christian Schisms
Early Christian Schisms - The Woes of Constantine - Extra History - Part 2,2016-05-07,1652356,25439.0,1650.0,hZsZXHPDwsw,535.0,https://www.youtube.com/watch?v=hZsZXHPDwsw,974,78,Early Christian Schisms
