"The History of 4,000,000 | Extra History #shorts",2025-01-23,450028,38422,315,dgfNB96Y2Qw,71.0,https://www.youtube.com/watch?v=dgfNB96Y2Qw
Irish Potato Famine | Extra History Complete | Irish History,2025-01-18,1087569,23577,1471,PRloj_jb1xQ,3181.0,https://www.youtube.com/watch?v=PRloj_jb1xQ
History of Disease: The Yips | Extra History #shorts,2025-01-16,575238,52658,325,exMLdSEJumc,65.0,https://www.youtube.com/watch?v=exMLdSEJumc
The Pazzi Conspiracy | LIES | Extra History,2025-01-15,70143,2194,142,pdkWyqjD1M0,1838.0,https://www.youtube.com/watch?v=pdkWyqjD1M0
The Bonfire of the Vanities | Italian History | Extra History,2025-01-11,257119,11583,389,eEiKk-us_lA,775.0,https://www.youtube.com/watch?v=eEiKk-us_lA
That Time the US Bombed Montana | Extra History #shorts,2025-01-09,4807887,403695,1219,xGr3Dox9Eh4,58.0,https://www.youtube.com/watch?v=xGr3Dox9Eh4
The Pazzi Conspiracy 4: Well Executed | Italian History | Extra History,2025-01-04,269370,12187,274,-dDwWxU8BiA,611.0,https://www.youtube.com/watch?v=-dDwWxU8BiA
The Pazzi Conspiracy 3: Street Justice | Italian History | Extra History,2024-12-28,276729,12285,471,EGmv70-WQyo,608.0,https://www.youtube.com/watch?v=EGmv70-WQyo
The Pazzi Conspiracy 2: Blood in the Cathedral | Italian History | Extra History,2024-12-21,298602,12608,299,iZ7ZwxcfMmM,566.0,https://www.youtube.com/watch?v=iZ7ZwxcfMmM
Bird Poop vs. Electricity | Extra History #shorts,2024-12-19,1594544,132452,368,Ehk7HVGBT8o,75.0,https://www.youtube.com/watch?v=Ehk7HVGBT8o
The Pazzi Conspiracy 1: The Pope’s Plot | Italian History | Extra History,2024-12-14,439686,15978,460,3a80aHHIqZ0,722.0,https://www.youtube.com/watch?v=3a80aHHIqZ0
How Victorian Workhouses Changed Charity | European History | Extra History,2024-12-12,516267,19231,1174,KreHl5JTQcU,806.0,https://www.youtube.com/watch?v=KreHl5JTQcU
The GOAT of Holiday Animals | Scandinavian History | Extra History,2024-12-07,216036,11140,562,noY9iXUHJfM,694.0,https://www.youtube.com/watch?v=noY9iXUHJfM
New York's War on Pinball! | Extra History #shorts,2024-12-05,1540568,137864,323,moFBf0HL5pM,60.0,https://www.youtube.com/watch?v=moFBf0HL5pM
Nazi Occultism | LIES | Extra History,2024-11-30,144765,2731,236,xRwnSoaNmjA,2093.0,https://www.youtube.com/watch?v=xRwnSoaNmjA
The First Black Friday | Extra History #shorts,2024-11-27,1192573,108045,194,5cV13aymyL4,56.0,https://www.youtube.com/watch?v=5cV13aymyL4
The Story of Beer | Extra History Complete | World History,2024-11-27,773559,17908,597,VEXoJhDNKAc,2627.0,https://www.youtube.com/watch?v=VEXoJhDNKAc
House of Death: The Collyer Brothers | US History | Extra History,2024-11-23,324431,12207,358,X_cEcBcC7WA,637.0,https://www.youtube.com/watch?v=X_cEcBcC7WA
Nazi Occultism 5: Thor's Hammer | European History | WW2 | Extra History,2024-11-16,417194,18304,791,1H-z5Dhy5c8,692.0,https://www.youtube.com/watch?v=1H-z5Dhy5c8
Nazi Occultism 4: The Indiana Jones Stuff | European History | WW2 | Extra History,2024-11-09,453663,17120,468,Tg8CpKzcFm8,787.0,https://www.youtube.com/watch?v=Tg8CpKzcFm8
Korean King’s Hilarious Secret 🤫 | Extra History #shorts,2024-11-07,3149278,326110,843,iBzHVnxMWMQ,59.0,https://www.youtube.com/watch?v=iBzHVnxMWMQ
Nazi Occultism 3: Hitler vs Magic | European History | WW2 | Extra History,2024-11-02,416165,16733,560,06fXIstwddk,717.0,https://www.youtube.com/watch?v=06fXIstwddk
London Ghost Murder 👻 | Extra History #shorts,2024-10-31,2449912,197387,368,WESMO1Me1l4,60.0,https://www.youtube.com/watch?v=WESMO1Me1l4
Nazi Occultism 2: Weird Science | European History | WW2 | Extra History,2024-10-26,493827,19396,1246,6MEzUovLTMs,712.0,https://www.youtube.com/watch?v=6MEzUovLTMs
Communist Brain Washing | Extra History #shorts,2024-10-23,2095897,167542,686,nkCUw-Zv1Iw,60.0,https://www.youtube.com/watch?v=nkCUw-Zv1Iw
Nazi Occultism 1: The Thule Society | European History | WW2 | Extra History,2024-10-19,884120,32468,1270,TokYUITs6zs,719.0,https://www.youtube.com/watch?v=TokYUITs6zs
Medal of Honor of Revoked!? 🎖️ Mary Walker | Extra History #shorts,2024-10-17,8557426,739360,1746,Xh2OV_ZunCU,60.0,https://www.youtube.com/watch?v=Xh2OV_ZunCU
Vlad the Impaler | Extra History Complete | European History,2024-10-12,1067185,24303,548,BvFwqVzEsfw,2842.0,https://www.youtube.com/watch?v=BvFwqVzEsfw
Giuseppe Garibaldi: Unifying Italy | LIES | Extra History,2024-10-09,80107,1596,115,56QN6Eb1VQE,1875.0,https://www.youtube.com/watch?v=56QN6Eb1VQE
Fighting for the Right to Vote: Voting Rights Act of 1965 | US History | Extra History,2024-10-05,219619,10348,948,wiO2ebPi48o,670.0,https://www.youtube.com/watch?v=wiO2ebPi48o
Garibaldi: Expedition of the Thousand | Unifying Italy | Extra History | Part 5,2024-09-28,251265,11794,390,_ctrANc5DkM,661.0,https://www.youtube.com/watch?v=_ctrANc5DkM
Garibaldi: The Cost of War | Unifying Italy | Extra History | Part 4,2024-09-21,294236,11820,355,vPb0pZwyYKc,661.0,https://www.youtube.com/watch?v=vPb0pZwyYKc
History's Dumbest Duels: Artist vs Critic | Extra History #shorts,2024-09-17,3695409,353883,1485,bpAeiqUtNh0,60.0,https://www.youtube.com/watch?v=bpAeiqUtNh0
Garibaldi: The Siege of Rome | Unifying Italy | Extra History | Part 3,2024-09-14,311692,12531,415,nJI-OfZuJg8,699.0,https://www.youtube.com/watch?v=nJI-OfZuJg8
Garibaldi: For Love and Country | Unifying Italy | Extra History | Part 2,2024-09-07,378606,13887,401,HLf6ONK1JP4,655.0,https://www.youtube.com/watch?v=HLf6ONK1JP4
Garibaldi: Hero of Two Worlds | Unifying Italy | Extra History | Part 1,2024-08-31,518537,20103,717,_kbjIwH8jBM,651.0,https://www.youtube.com/watch?v=_kbjIwH8jBM
Joan of Arc | Extra History Complete | European History,2024-08-24,932558,24986,694,OvE23dL0rkU,3186.0,https://www.youtube.com/watch?v=OvE23dL0rkU
Invasion of Quebec | LIES | Extra History,2024-08-21,60061,1615,119,r4SIBeuVdn4,1970.0,https://www.youtube.com/watch?v=r4SIBeuVdn4
Benedict Arnold: Path to Betrayal | US History | Extra History | Part 2,2024-08-17,296176,12233,485,biIzip1F8GI,682.0,https://www.youtube.com/watch?v=biIzip1F8GI
Benedict Arnold: From War Hero to Traitor | US History | Extra History | Part 1,2024-08-10,454875,16256,596,SG-NWQvcZI0,638.0,https://www.youtube.com/watch?v=SG-NWQvcZI0
Invasion of Quebec: No Retreat | US History | Extra History | Part 4,2024-08-03,276890,10190,340,6trYjVdxeRs,692.0,https://www.youtube.com/watch?v=6trYjVdxeRs
Invasion of Quebec: Battle in the Streets | US History | Extra History | Part 3,2024-07-27,302678,10704,344,t0xbGEADSSE,595.0,https://www.youtube.com/watch?v=t0xbGEADSSE
Invasion of Quebec: Benedict Arnold’s Death March | US History | Extra History | Part 2,2024-07-20,355424,12372,331,RZchF6fBjRA,660.0,https://www.youtube.com/watch?v=RZchF6fBjRA
The BEST Day for War!💥 | Extra History #shorts,2024-07-18,5970794,429178,1143,a0Szqs5eB5s,60.0,https://www.youtube.com/watch?v=a0Szqs5eB5s
"The Calendar's 10,000 Year History | World History | Extra History",2024-07-16,487026,18671,729,YGEccCwtVMg,606.0,https://www.youtube.com/watch?v=YGEccCwtVMg
Invasion of Quebec: America’s Founding Disaster | US History | Extra History | Part 1,2024-07-13,586919,17389,692,_jPzFvKRuKE,644.0,https://www.youtube.com/watch?v=_jPzFvKRuKE
The Siege of Vienna | European History | Extra History Complete,2024-07-06,1176459,30208,896,pE3QWKLaxMs,2091.0,https://www.youtube.com/watch?v=pE3QWKLaxMs
